constructorId,name,nationality,url
butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth
aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
ats,ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels)
bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing
behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche
bellasi,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi
benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula
bmw,BMW,German,http://en.wikipedia.org/wiki/BMW
bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber
boro,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One)
brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham
brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham
brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham
brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor)
afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
ags,AGS,French,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team
amon,Amon,New Zealander,http://en.wikipedia.org/wiki/Amon_(Formula_One_team)
moda,Andrea Moda,Italian,http://en.wikipedia.org/wiki/Andrea_Moda_Formula
apollon,Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One)
arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International
arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini
butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth
aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
ats,ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels)
bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing
behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche
bellasi,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi
benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula
bmw,BMW,German,http://en.wikipedia.org/wiki/BMW
bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber
boro,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One)
brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham
brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham
brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham
brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
